1	0	25	1	30	0	30	599	0	0	1957	0	0	0	0
935	20.1058	2	1	11	94	25	492	4	16	1809	0	0	0	0
1423	40.0757	0	1	6	140	23	522	3	15	1895	0	0	0	0
1919	60.0137	0	1	6	172	23	540	3	15	1949	0	0	0	0
2354	80.0205	2	1	6	187	24	552	2	14	1981	0	0	0	0
2808	100.076	2	1	6	218	24	569	2	14	2032	0	0	0	0
3243	120.1	0	1	5	265	23	581	3	15	2071	0	0	0	0
3641	140.125	0	1	5	281	23	594	3	15	2110	0	0	0	0
4065	160.023	2	1	5	312	24	608	2	14	2148	0	0	0	0
4500	180.005	2	1	5	328	24	621	2	14	2187	0	0	0	0
4923	200.015	0	1	5	359	23	636	3	15	2236	0	0	0	0
5334	220.043	0	2	5	374	23	649	3	15	2275	0	0	0	0
5761	240.001	0	1	5	390	23	662	3	15	2314	0	0	0	0
6204	260.055	0	1	5	406	23	676	3	15	2356	0	0	0	0
6644	280.089	2	1	5	437	24	695	2	14	2409	0	0	0	0
7058	300.235	0	2	5	452	23	713	3	15	2467	0	0	0	0
7481	320.001	2	1	5	484	24	727	2	14	2505	0	0	0	0
7904	340.125	0	1	5	515	23	746	3	15	2566	0	0	0	0
8315	360.17	0	1	5	546	23	762	3	15	2614	0	0	0	0
8730	380.07	4	0	5	577	24	776	2	14	2652	0	0	0	0
9141	400.017	4	0	5	608	24	792	2	14	2700	0	0	0	0
9610	420.028	2	1	5	640	24	810	2	14	2754	0	0	0	0
10047	440.008	2	1	5	686	24	828	2	14	2808	0	0	0	0
10502	460.064	2	1	5	718	24	843	2	14	2853	0	0	0	0
10959	480.047	2	1	5	749	24	862	2	14	2910	0	0	0	0
11369	500.041	0	2	5	764	23	879	3	15	2965	0	0	0	0
11815	520.02	2	1	5	796	24	896	2	14	3012	0	0	0	0
12211	540.131	2	1	5	811	24	911	2	14	3057	0	0	0	0
12648	560.008	2	1	5	842	24	924	2	14	3096	0	0	0	0
13096	580.006	2	1	5	874	24	944	2	14	3156	0	0	0	0
13548	600.187	4	0	5	889	24	960	2	14	3204	0	0	0	0
13961	620.009	0	1	5	905	23	975	3	15	3253	0	0	0	0
14401	640.003	0	1	5	936	23	988	3	15	3292	0	0	0	0
14834	660.056	2	1	5	967	24	1008	2	14	3348	0	0	0	0
15302	680.125	0	1	5	998	23	1024	3	15	3400	0	0	0	0
15736	700.014	0	2	5	1030	23	1043	3	15	3457	0	0	0	0
16172	720.035	2	1	5	1061	24	1060	2	14	3504	0	0	0	0
16598	740.006	4	0	5	1092	24	1076	2	14	3552	0	0	0	0
17038	760.062	0	1	5	1123	23	1092	3	15	3604	0	0	0	0
17438	780.026	0	1	5	1139	23	1111	3	15	3661	0	0	0	0
17897	800.038	2	1	5	1186	24	1131	2	14	3717	0	0	0	0
18324	820.002	0	1	5	1217	23	1147	3	15	3769	0	0	0	0
18778	840.026	2	1	5	1232	24	1164	2	14	3816	0	0	0	0
19206	860.005	0	1	5	1264	23	1174	3	15	3850	0	0	0	0
19657	880.016	4	0	5	1279	24	1194	2	14	3906	0	0	0	0
20135	900.011	0	1	5	1295	23	1208	3	15	3952	0	0	0	0
20588	920.085	0	1	5	1342	23	1229	3	15	4015	0	0	0	0
20982	940.072	0	1	5	1357	23	1247	3	15	4069	0	0	0	0
21405	960.022	0	1	5	1373	23	1261	3	15	4111	0	0	0	0
21826	980.064	2	1	5	1388	24	1281	2	14	4167	0	0	0	0
22251	1000.13	2	1	5	1420	24	1295	2	14	4209	0	0	0	0
