0	A	0.0333333	1	1	0	0	1	1000.03	0	0	0	0	0	1
1	B	0.0333333	1	1	0	0	1	1000.03	0	0	0	0	0	1
2	AA	0.0333333	1	1	0	0	1	1000.03	0	0	0	0	0	1
3	BA	0.0333333	1	1	0	0	1	1000.03	0	0	0	0	0	1
4	AB	0.0333333	1	1	0	0	1	1000.03	0	0	0	0	0	1
5	BB	0.0333333	1	1	0	0	1	1000.03	0	0	0	0	0	1
6	AAA	0	1	1	0	0	1	0.999154	0	0	0	0	0	0
7	BAA	0	1	1	0	0	1	3.77193	0	0	0	0	0	0
8	ABA	0.0531372	1	1	0	0	1	1000.03	0	0	0	0	0	0
9	BBA	0.0166054	1	1	0	0	1	1000.03	0	0	0	0	0	0
10	AAB	0	1	1	0	0	1	6.69216	0	0	0	0	0	0
11	BAB	0	1	1	0	0	1	4.38656	0	0	0	0	0	0
12	ABB	0	1	1	0	0	1	5.11452	0	0	0	0	0	0
13	BBB	4.28087	1	1	0	0	1	1000.03	0	0	0	0	0	0
14	AAAA	0.00332108	1	1	0	0	1	877.701	0	0	0	0	0	0
15	BAAA	0.0398529	1	1	0	0	1	1000.03	0	0	0	0	0	0
16	ABAA	0	1	1	0	0	1	0.897931	0	0	0	0	0	0
17	BBAA	0.0265686	1	1	0	0	1	1000.03	0	0	0	0	0	0
18	AABA	0	1	1	0	0	1	27.04	0	0	0	0	0	0
19	BABA	0	1	1	0	0	1	0.95157	0	0	0	0	0	0
20	ABBA	0.0333333	1	1	0	0	1	1000.03	0	0	0	0	0	0
21	BBBA	0.0298897	1	1	0	0	1	1000.03	0	0	0	0	0	0
22	AAAB	0.0333333	1	1	0	0	1	1000.03	0	0	0	0	0	0
23	BAAB	0.0333333	1	1	0	0	1	1000.03	0	0	0	0	0	0
24	ABAB	0.0333333	1	1	0	0	1	1000.03	0	0	0	0	0	0
25	BBAB	0	1	1	0	0	1	6.20986	0	0	0	0	0	0
26	AABB	0	1	1	0	0	1	2.19531	0	0	0	0	0	0
27	BABB	0	1	1	0	0	1	1.72678	0	0	0	0	0	0
28	ABBB	0	1	1	0	0	1	4.16915	0	0	0	0	0	0
29	BBBB	0.00166054	1	1	0	0	1	1000.03	0	0	0	0	0	0
30	ABBAB	0.0381924	1	1	0	0	1	999.834	1	0	0	0	0	0
31	BABAAAA	0.0282292	1	1	0	0	1	999.829	1	0	0	0	0	0
32	BABAAABB	0.00830269	1	1	0	0	1	1000.01	1	0	0	0	0	0
33	AAAAABB	0.00498162	1	1	0	0	1	999.906	1	0	0	0	0	0
34	ABAABAAA	0.0166054	1	1	0	0	1	999.883	1	0	0	0	0	0
35	BABBAABA	0.0182659	1	1	0	0	1	999.841	1	0	0	0	0	0
36	BBAABAA	0	1	1	1e-06	4	0	0	0	17	7	0	0	0
37	BBAAABAA	0	1	1	1e-06	4	0	0	0	17	16	0	0	0
38	BBAABAB	0	1	1	1e-06	4	0	0	0	17	11	0	0	0
39	BBAABAA	0	1	1	1e-06	3	0	0	0	9	16	0	0	0
40	BBBBABA	0.0199265	1	1	1e-06	3	0	0	0	13	19	0	0	0
41	ABAAAA	0.00498162	1	1	1e-06	3	0	0	0	8	6	0	0	0
42	AABABABB	0	1	1	1e-06	4	0	0	0	18	27	0	0	0
43	AAAAB	0.00166054	1	1	1e-06	4	0	0	0	14	1	0	0	0
44	AABAABB	0	1	1	1e-06	4	0	0	0	18	12	0	0	0
