0	0	13	1	5	2531	239
1	1	7	1	2	14	239
2	1	10	0	4	20	239
3	1	19	11	0	3	239
4	1	4	0	1	21233	239
5	1	11	1	4	6	239
6	1	27	1	12	6	239
7	0	30	12	4	23	239
8	1	25	5	4	16	239
9	0	31	11	14	17	239
10	1	6	0	2	14	239
11	0	32	19	26	5	239
12	1	16	8	0	6	239
13	1	9	1	3	16	239
14	1	17	1	7	4	239
15	1	28	0	13	20	239
16	1	12	0	5	15	239
17	0	15	7	0	14	239
18	1	26	0	12	12	239
19	0	33	6	26	3	239
20	1	29	1	13	19	239
21	1	16	0	7	4	239
22	0	34	16	15	10	239
23	1	27	3	5	3	239
24	0	35	27	18	11	239
25	1	21	1	9	2	239
26	1	25	9	1	4	1
27	1	18	0	8	9	1
